Latitude,Longitude,Sample Date,blue,red,green,nir,swir16,swir22,NDMI,MNDWI,NDVI
-28.760833,17.730278,02-01-2011,9557.0,12802.0,11426.0,11190.0,7687.5,7645.0,0.18553833929280794,0.19559473670442257,-0.06718906302100673
-26.861111,28.884722,03-01-2011,8691.0,9241.5,9550.0,17658.5,13746.5,10574.0,0.12456615188664187,-0.18013435494602117,0.31289962825278694
-26.45,28.085833,03-01-2011,9502.5,12540.0,10720.0,15210.0,17974.0,14201.0,-0.08329315332690428,-0.2528054645570494,0.09621621621621587
-27.671111,27.236944,03-01-2011,9693.5,11237.5,10943.0,14887.0,13522.0,11403.0,0.04804815375409185,-0.10541590026568524,0.13969645352064103
-27.356667,27.286389,03-01-2011,8718.0,9290.0,9502.5,16828.5,12665.5,9643.0,0.1411473520037969,-0.14268314687838263,0.2886268353848794
-27.01011111,26.69808333,04-01-2011,9344.0,10728.5,10433.5,12433.5,9579.5,8531.5,0.1296506609730608,0.04267226302903092,0.0736119506087554
-25.127778,27.628889,04-01-2011,4984.0,5122.0,5189.5,7814.0,6664.0,5222.0,0.07943086061610664,-0.12439363900957418,0.20810142238713505
-25.20639,27.558,04-01-2011,10039.0,9985.0,10466.5,14137.5,10315.5,8536.0,0.1562998405103662,0.007265903185448912,0.17214219090061075
-24.69514,27.40906,04-01-2011,9921.0,10524.0,10647.0,15543.0,11919.5,9642.5,0.13194355939918023,-0.056388895043537744,0.1925422948555638
-26.98472222,26.63227778,04-01-2011,9414.0,10262.5,10207.0,13683.0,14011.5,11850.5,-0.01186156095975731,-0.15709065383900672,0.14284521099997854
-28.141944,26.417778,04-01-2011,9085.5,9679.0,9840.0,14391.0,13799.5,11265.0,0.020982245792022063,-0.16749508238329844,0.19576235978396264
-27.398611,26.614722,04-01-2011,9253.5,10126.0,10247.0,15515.5,12823.0,10403.5,0.09501208603137042,-0.11166016471608102,0.21018661154768556
-33.501667,21.624167,04-01-2011,,,,,,,,,
-32.502778,19.535833,04-01-2011,10579.0,14613.0,13104.0,17653.0,19330.0,16984.0,-0.0453451585863774,-0.191959055312326,0.09421682266162495
-25.45963889,28.26430556,04-01-2011,9139.0,11096.0,9926.0,13959.0,15156.5,12552.5,-0.0411292953924884,-0.20853184491179028,0.1142686090600674
-27.495556,26.074722,04-01-2011,9490.5,11540.5,11044.5,17937.5,18143.5,14152.5,-0.005709376125938844,-0.24321639029738168,0.21700929506750724
-26.648056,27.089444,05-01-2011,8535.0,8963.5,9597.0,19310.5,12954.5,9447.5,0.1969936463660307,-0.14888144912755183,0.36595458725330565
-26.970278,27.211111,05-01-2011,9671.5,11496.0,11040.0,10218.0,7946.5,7735.0,0.1250516116601056,0.16293155663234318,-0.05885603757944157
-27.38972222,26.46388889,05-01-2011,10130.0,11926.0,11597.0,11481.0,8583.0,8196.5,0.1444377990430615,0.14935579781962266,-0.019011406844106384
-27.044444,27.005,05-01-2011,8882.5,9503.5,9908.0,17418.5,13987.0,10115.0,0.10926430083902466,-0.17070516844528075,0.2939974741846806
-30.830556,26.921389,06-01-2011,4189.0,4479.0,4491.0,5266.5,3672.5,3764.5,0.1783197225640432,0.10026336742818522,0.08080652608896331
-27.00222,28.76528,06-01-2011,8743.0,9947.0,9691.0,13724.0,13005.5,10754.5,0.02688041302680549,-0.1460357323816441,0.15956233365721703
-27.02314,28.59389,06-01-2011,8893.0,10129.0,9969.5,11490.5,10372.5,9135.0,0.05113662351918744,-0.01981122800117973,0.0629755544762827
-30.679722,26.7125,06-01-2011,9235.5,11938.0,10548.0,13400.0,7764.0,7659.0,0.26630126630126505,0.15203145478374755,0.05769989738732317
-30.160091,27.40124,06-01-2011,9063.0,10522.5,10060.0,14158.0,12037.5,10023.5,0.08094901796109989,-0.08948976128521287,0.14730252628593365
-32.595833,19.009444,06-01-2011,9227.5,10903.5,10334.0,15218.5,14735.0,12208.5,0.016141686280401236,-0.17555546691132407,0.1651864328918147
-25.99136,27.84208,10-01-2011,10629.0,11898.0,11771.5,18631.5,16495.0,12815.0,0.060823025351230374,-0.1671059381246346,0.22055716601975067
-26.73806,27.59194,10-01-2011,8719.0,8961.0,9167.0,9089.5,7963.0,7740.0,0.066060694912769,0.07028604786923486,0.00711891637350762
-26.45,28.085833,10-01-2011,9502.5,12540.0,10720.0,15210.0,17974.0,14201.0,-0.08329315332690428,-0.2528054645570494,0.09621621621621587
-30.86013889,29.07125,10-01-2011,9396.0,11634.0,10724.5,14558.0,11450.0,10000.5,0.11950169178714197,-0.032717761392590444,0.11163714111178943
-27.356667,27.286389,10-01-2011,8718.0,9290.0,9502.5,16828.5,12665.5,9643.0,0.1411473520037969,-0.14268314687838263,0.2886268353848794
-27.01011111,26.69808333,11-01-2011,9344.0,10728.5,10433.5,12433.5,9579.5,8531.5,0.1296506609730608,0.04267226302903092,0.0736119506087554
-25.73411,27.21422,11-01-2011,16362.5,17879.5,17765.0,21914.0,22170.5,17965.5,-0.005818371536481063,-0.11031538355598375,0.1013859047331848
-26.98472222,26.63227778,11-01-2011,9414.0,10262.5,10207.0,13683.0,14011.5,11850.5,-0.01186156095975731,-0.15709065383900672,0.14284521099997854
-27.398611,26.614722,11-01-2011,9253.5,10126.0,10247.0,15515.5,12823.0,10403.5,0.09501208603137042,-0.11166016471608102,0.21018661154768556
-27.671111,27.236944,11-01-2011,9693.5,11237.5,10943.0,14887.0,13522.0,11403.0,0.04804815375409185,-0.10541590026568524,0.13969645352064103
-29.160278,26.573333,11-01-2011,,,,,,,,,
-34.250556,20.9925,11-01-2011,8456.0,9192.0,9019.0,12323.0,13161.0,10800.5,-0.03288337780568187,-0.18674481514878186,0.14552637694631587
-25.45963889,28.26430556,11-01-2011,9139.0,11096.0,9926.0,13959.0,15156.5,12552.5,-0.0411292953924884,-0.20853184491179028,0.1142686090600674
-25.81048333,27.90955222,12-01-2011,8693.0,9553.5,9753.0,16870.5,13408.0,10257.0,0.11435507042951232,-0.15780838478476683,0.2769073569482279
-27.273889,28.49,12-01-2011,8456.5,9407.5,9060.0,12333.0,9264.5,8181.0,0.14207662923949466,-0.011159922508117488,0.134564522435086
-27.4275,28.525833,12-01-2011,9231.0,11296.0,10794.0,16767.0,18026.5,15340.5,-0.03619929009728818,-0.2509498447285778,0.19495421016997402
-28.883333,27.89,12-01-2011,8398.5,9399.5,9248.0,14007.5,12553.5,9979.0,0.054741914837543565,-0.15161800793523314,0.19686418592728588
-27.00222,28.76528,13-01-2011,8743.0,9947.0,9691.0,13724.0,13005.5,10754.5,0.02688041302680549,-0.1460357323816441,0.15956233365721703
-27.02314,28.59389,13-01-2011,8893.0,10129.0,9969.5,11490.5,10372.5,9135.0,0.05113662351918744,-0.01981122800117973,0.0629755544762827
-30.534167,24.961944,13-01-2011,9795.0,10773.5,10835.0,15132.5,13586.0,11169.0,0.05385030555217002,-0.11264894967446006,0.1682621786458729
-28.460833,21.248889,13-01-2011,10832.0,13063.0,12046.5,14599.0,12067.0,11038.5,0.09495237380934489,-0.0008501461836730428,0.05552743836309719
-29.658056,25.973333,14-01-2011,9396.0,11157.5,10765.0,14001.0,12520.0,10583.0,0.055842539874061854,-0.07537041013527991,0.11302343144464054
-28.760833,17.730278,16-01-2011,9557.0,12802.0,11426.0,11190.0,7687.5,7645.0,0.18553833929280794,0.19559473670442257,-0.06718906302100673
-25.513889,31.224444,17-01-2011,8486.0,9137.5,9116.5,14776.0,12424.0,9895.0,0.0864705882352938,-0.15354796778161997,0.23578731678758763
-26.861111,28.884722,17-01-2011,8691.0,9241.5,9550.0,17658.5,13746.5,10574.0,0.12456615188664187,-0.18013435494602117,0.31289962825278694
-31.554722,29.245556,17-01-2011,8558.0,8850.0,9449.0,19619.0,13890.0,10042.0,0.1709689934047564,-0.19028235999828533,0.3782711019003113
-28.058889,30.373611,17-01-2011,8452.5,9431.0,9326.0,14514.0,12189.5,9706.0,0.08704851423970608,-0.13309009783644288,0.21227813739820334
